"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7763","Login link navigates back to login page","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","3312","Search input is visible with correct placeholder","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
"","3505","Back button is visible on Our Destinations page","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","8825","Register with an invalid email format shows validation error","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","27981","Guest checkout with existing account email","chromium","2026-04-25","failed","2026-04-25","","website/Regression/guestCheckout.spec.ts","",""
"","8929","Join with Google button is visible on registration form","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","9752","Forgot password link navigates to reset password page","chromium","2026-04-25","passed","2026-04-25","","website/Regression/login.spec.ts","",""
"","5636","Navigating to Africa destination loads Africa plans page","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","3102","Search input is visible with correct placeholder","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","5435","Switch back from Countries tab to Regions tab","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
"","8216","Register with mismatched passwords shows error","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","10638","Privacy Notice link opens in new tab","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","6803","Join with Apple button is visible on registration form","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","3131","All region destination cards are visible in grid","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","3272","Navigate to Middle East destination from homepage","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
"","11714","Register with an already registered email shows error","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","7741","State Province dropdown is visible for Canada","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","27279","Login with valid credentials","chromium","2026-04-25","passed","2026-04-25","","website/Regression/login.spec.ts","",""
"","5195","Clear search input resets to empty state","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","3112","Our Destinations page loads with correct title and heading","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","8516","State Province dropdown is hidden for non-US/Canada country","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","5318","Typing in search input shows autocomplete dropdown","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","10779","Footer Privacy Policy link opens in new tab","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","3384","All destination region cards are visible","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
"","5295","Countries tab displays individual country cards","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","7743","State Province dropdown is visible for USA","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","35030","Guest checkout for non-existing user","chromium","2026-04-25","passed","2026-04-25","","website/Regression/guestCheckout.spec.ts","",""
"","4512","Navigate to Caribbean destination from homepage","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
"","4291","Header navigation links are visible","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
"","10437","Footer Cookie Policy link opens in new tab","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","9444","Terms and Conditions link opens in new tab","chromium","2026-04-25","passed","2026-04-25","","website/Regression/registration.spec.ts","",""
"","4670","Clearing search input resets to empty state","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
"","5001","Switch from Regions tab to Countries tab","chromium","2026-04-25","passed","2026-04-25","","website/Regression/ourDestinationsExploration.spec.ts","",""
"","5737","Typing in search input enables the search button","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
"","5053","All destination countries cards are visible","chromium","2026-04-25","passed","2026-04-25","","website/Regression/homePageExploration.spec.ts","",""
